programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
479,1934-35,52402*,Beethoven,  Ludwig  van,MISSA SOLEMNIS IN D MAJOR, OP.123,Toscanini, Arturo
489,1934-35,51701*1,Rossini,  Gioachino,ITALIANA IN ALGERI, L',Toscanini, Arturo
12272,1934-35,8957*1,Mozart,  Wolfgang  Amadeus,MARRIAGE OF FIGARO, THE,Smallens, Alexander
12274,1934-35,51682*1,Rossini,  Gioachino,BARBIERE DI SIVIGLIA, IL (THE BARBER OF SEVILLE),Iturbi, Jose
12275,1934-35,9187*1,Weber,  Carl  Maria Von,EURYANTHE, OP. 81,Smallens, Alexander
12276,1934-35,856*,Schubert,  Franz,ROSAMUNDE: OVERTURE, D.644,Iturbi, Jose
12279,1934-35,52437*,Beethoven,  Ludwig  van,SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA),Iturbi, Jose
12282,1934-35,51870*,Brahms,  Johannes,SYMPHONY NO. 1 IN C MINOR, OP. 68,Smallens, Alexander
12283,1934-35,52453*,Beethoven,  Ludwig  van,SYMPHONY NO. 7 IN A MAJOR, OP.92,Iturbi, Jose
12285,1934-35,50070*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 6, B MINOR,Iturbi, Jose
12288,1934-35,51149*,Liszt,  Franz,PRELUDES, LES (SYMPHONIC POEM NO. 3),Iturbi, Jose
12289,1934-35,642*,Puccini,  Giacomo,BOHEME, LA,Smallens, Alexander;  Sciarretti
12290,1934-35,52101*,Haydn,  Franz  Joseph,SYMPHONY NO.  94, G MAJOR (SURPRISE),Iturbi, Jose
12291,1934-35,5710*,Schumann,  Robert,CARNAVAL, OP. 9: BALLET (ORCH - VERS. BALLET RUSSE) (ARR. Arensky),Smallens, Alexander
12294,1934-35,51664*,Mozart,  Wolfgang  Amadeus,SYMPHONY NO. 40, G MINOR,Smallens, Alexander
12293,1934-35,1470*,Verdi,  Giuseppe,TRAVIATA, LA,Smallens, Alexander
12295,1934-35,51289*,Mozart,  Wolfgang  Amadeus,SERENADE, STRINGS,Iturbi, Jose
12296,1934-35,50064*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 4, F MINOR,Smallens, Alexander
12299,1934-35,52446*,Beethoven,  Ludwig  van,SYMPHONY NO. 5 IN C MINOR, OP.67,Hoogstraten, Willem van
12301,1934-35,50068*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 5, E MINOR,Smallens, Alexander
12302,1934-35,50070*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 6, B MINOR,Hoogstraten, Willem van
12307,1934-35,9194*1,Smetana,  Bedrich,BARTERED BRIDE, THE,Hoogstraten, Willem van
12308,1934-35,51880*,Brahms,  Johannes,SYMPHONY NO. 3 IN F MAJOR, OP. 90,Hoogstraten, Willem van
12309,1934-35,7904*4,Strauss,  Johann,FLEDERMAUS, DIE,Harmati, Sandor
12311,1934-35,3969*,Schubert,  Franz,SYMPHONY NO. 9, C MAJOR,Hoogstraten, Willem van
12313,1934-35,50064*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 4, F MINOR,Hoogstraten, Willem van
12314,1934-35,2163*,Bach,  Johann  Sebastian,PRELUDE, CHORALE,Smallens, Alexander
12315,1934-35,7904*4,Strauss,  Johann,FLEDERMAUS, DIE,Harmati, Sandor
12316,1934-35,52389*,Beethoven,  Ludwig  van,LEONORE OVERTURE NO. 3, OP. 72B,Hoogstraten, Willem van
1695,1935-36,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Klemperer, Otto
1702,1935-36,1965*1,Cherubini,  Luigi,ANACRÉON, OU L’AMOUR FUGITIF,Klemperer, Otto
3473,1935-36,1965*1,Cherubini,  Luigi,ANACRÉON, OU L’AMOUR FUGITIF,Klemperer, Otto
1714,1935-36,878*1,Schumann,  Robert,MANFRED, OP.115,Klemperer, Otto
3478,1935-36,878*1,Schumann,  Robert,MANFRED, OP.115,Klemperer, Otto
1727,1935-36,2344*,Bach,  Johann  Sebastian,BRANDENBURG CONCERTO NO. 1, F MAJOR,Klemperer, Otto
2167,1935-36,2344*,Bach,  Johann  Sebastian,BRANDENBURG CONCERTO NO. 1, F MAJOR,Klemperer, Otto
2174,1935-36,9187*1,Weber,  Carl  Maria Von,EURYANTHE, OP. 81,Klemperer, Otto
2177,1935-36,9187*1,Weber,  Carl  Maria Von,EURYANTHE, OP. 81,Klemperer, Otto
2180,1935-36,1551*,Bruckner,  Anton,SYMPHONY NO. 8, C MINOR,Klemperer, Otto
3888,1935-36,53072*,Schumann,  Robert,SYMPHONY NO. 3, E FLAT MAJOR,Klemperer, Otto
3894,1935-36,53881*,Handel,  George  Frideric,CONCERTO GROSSO, OP. 3,Lange, Hans
2579,1935-36,52364*1,Beethoven,  Ludwig  van,EGMONT, OP.84,Klemperer, Otto
2585,1935-36,53254*,Sibelius,  Jean,SYMPHONY NO. 2, D MAJOR,Klemperer, Otto
4336,1935-36,53254*,Sibelius,  Jean,SYMPHONY NO. 2, D MAJOR,Klemperer, Otto
4340,1935-36,50070*,Tchaikovsky,  Pyotr  Ilyich,SYMPHONY NO. 6, B MINOR,Klemperer, Otto
2592,1935-36,1886*,Bach,  Johann  Sebastian,SUITE NO. 2,  B MINOR,Klemperer, Otto
4343,1935-36,52076*,Haydn,  Franz  Joseph,SYMPHONY NO.  88, G MAJOR,Klemperer, Otto
